"cal_year","cal_month","shortage","sam_0","sam_1","sam_2","sam_3","sam_6","sam_9","sam_12","oni_detrended_0","oni_detrended_1","oni_detrended_2","oni_detrended_3","oni_detrended_6","oni_detrended_9","oni_detrended_12","soi_0","soi_1","soi_2","soi_3","soi_6","soi_9","soi_12","precip_30","precip_61","precip_91","precip_183","precip_273","precip_365","mean_day_tmin_30","mean_day_tmin_61","mean_day_tmin_91","mean_day_tmin_183","mean_day_tmin_273","mean_day_tmin_365","mean_day_tmax_30","mean_day_tmax_61","mean_day_tmax_91","mean_day_tmax_183","mean_day_tmax_273","mean_day_tmax_365","heat_day_30","heat_day_61","heat_day_91","heat_day_183","heat_day_273","heat_day_365"
1998,6,"not_shortage",1.31,1.11,2.89,-0.05,-0.89,0.69,0.69,-0.24,0.7,0.9,1.38,2.32,2.12,1.22,1,0.3,-1.4,-2.4,-1,-1.4,-1.4,50.4492691904306,140.502833157778,320.441227711737,549.40935109742,885.334003310651,1058.69004400633,13.0523408253988,14.2722492694855,15.9251820281312,18.7497445924686,19.1953313045013,17.4465047607683,19.3561640739441,20.8931015173594,22.3680473264757,25.6861337703434,26.1211673296415,24.6009971540268,333.905650138855,746.017786979675,1270.73831892014,3139.73844385147,4814.59366846085,5846.352866292
1998,7,"not_shortage",2.13,1.31,1.11,2.89,2.65,-1.78,1.82,-0.86,-0.24,0.7,0.9,2.37,2.4,1.67,1.2,1,0.3,-1.4,-2.7,-1.5,-0.8,67.6594525109977,118.33583602123,209.076807184145,570.165472814813,873.797530421987,1030.25053545833,12.9791365941366,12.9958546320597,13.8165198315631,17.2529639624507,18.6873492530851,17.6141422800822,18.959992535909,19.1038982709249,20.170774438879,24.0609651680201,25.5079228397691,24.6937656951277,326.712357521057,656.359630584717,1082.26061534882,2849.24862718582,4657.42528104782,5892.89023411274
1998,8,"not_shortage",2.66,2.13,1.31,1.11,0.57,-3.17,0.76,-1.25,-0.86,-0.24,0.7,2.03,2.48,1.91,1.2,1.2,1,0.3,-2,-1.2,-1.4,109.255209892988,177.451301021501,228.217294869944,517.997224280611,845.634402003139,1130.07480267249,14.0344130198161,13.4534664312998,13.2929456417377,15.8245860344725,17.9613569280603,17.8748610614097,19.7690003395081,19.3386521657308,19.2828714768965,22.4182862036867,24.6357297093877,24.6550550513072,360.216371059418,685.76865530014,1024.41326284409,2575.65112400055,4439.88523960114,5935.89912462234
1998,9,"not_shortage",0.74,2.66,2.13,1.31,-0.05,-0.89,0.69,-1.26,-1.25,-0.86,-0.24,1.38,2.32,2.12,1,1.2,1.2,1,-2.4,-1,-1.4,105.778823764995,215.034033657983,283.319735124707,604.675484351814,833.249490680173,1169.56825995073,16.7474522590637,15.3909326394399,14.524224627149,15.2048647885766,17.3015742843404,18.0099291448724,22.1872894922892,20.9781449158986,20.2519326262422,21.2654250410737,23.822531528962,24.6223538542447,441.963358402252,802.17972946167,1136.72934818268,2416.9981379509,4249.93847799301,5960.85348749161
1999,1,"not_shortage",2.26,2.59,2.84,-0.26,2.13,2.89,2.65,-1.69,-1.64,-1.38,-1.41,-0.86,0.9,2.37,1.8,1.4,1,1.1,1.2,-1.4,-2.7,127.665695942938,291.663825809956,447.487166397274,704.236799249426,909.904891721904,1239.62833257392,22.1690581639608,21.8346767425537,20.6446598073938,18.6069626886337,16.9846083183428,17.8757363593742,27.4912233988444,27.4751094818115,26.1372454716609,24.2460518665001,22.8628787016257,24.0922845605302,597.159559249878,1183.9128742218,1679.86866807938,3017.6337852478,4076.93454360962,5836.34928560257
1999,10,"not_shortage",3.35,0.16,1.44,0.72,2.44,2.26,-0.26,-1.19,-1.09,-1.19,-1.05,-1,-1.69,-1.41,1,-0.1,0.4,0.5,1.4,1.8,1.1,136.514739539474,197.430144453421,326.837106427178,971.684590484947,1779.26493185759,2229.62826412171,18.1061678568522,16.5003727912903,14.9885541580536,14.2793013254801,16.0933198195237,17.232542521333,24.5534294764201,23.3328068415324,22.0625497168237,20.7158020102913,22.1437117747771,23.1482555389404,493.53786945343,901.215941905975,1238.91689300537,2292.77104473114,3852.8918390274,5545.88874387741
1999,11,"not_shortage",1.83,3.35,0.16,1.44,2.51,0.56,2.84,-1.5,-1.19,-1.09,-1.19,-1.02,-1.31,-1.38,1,1,-0.1,0.4,0.2,1,1,109.397180620581,245.911920160055,307.706698266789,925.944417156279,1471.78487869352,2192.81857687607,17.8994311650594,18.0027995109558,16.9439781419523,14.5742694719242,15.6915105533251,17.195866744159,23.6421271642049,24.0977783203125,23.4093742370605,21.1283750481944,21.8803671672667,23.1498610248304,471.148677825928,964.686547279358,1384.10130786896,2352.45643758774,3761.1879491806,5537.31490516663
1999,12,"not_shortage",3.12,1.83,3.35,0.16,-1.81,-1.39,2.59,-1.7,-1.5,-1.19,-1.09,-1.05,-0.9,-1.64,1.4,1,1,-0.1,0.3,1.3,1.4,149.1425094679,249.142417024821,395.054429627955,760.689543828368,1437.03218773752,2189.87065701559,18.5307731628418,18.1856207211812,18.1784792680007,15.6257000438503,15.4785804958134,16.9661679881893,25.1881076176961,24.3787755966187,24.4541161296132,22.2534407318616,21.7639403151069,22.9710184645979,509.102660179138,981.469485282898,1489.42886257172,2559.1682305336,3719.91525840759,5463.10727024078
1999,2,"not_shortage",0.56,2.26,2.59,2.84,2.66,1.11,0.57,-1.31,-1.69,-1.64,-1.38,-1.25,0.7,2.03,1,1.8,1.4,1,1.2,0.3,-2,362.861914914101,508.237130243331,651.550395589322,936.390119662508,1165.11471386626,1457.16252449155,21.7010366439819,21.9401882171631,21.6444041283576,19.7665437948508,17.6231579029516,17.8249669192588,26.4181030273438,26.89243516922,26.9433107900096,25.2291368265621,23.254541355175,23.8566009260204,567.86209487915,1160.46030330658,1756.78484916687,3207.06240653992,4222.36702919006,5779.39016008377
1999,3,"not_shortage",-1.39,0.56,2.26,2.59,0.74,1.31,-0.05,-0.9,-1.31,-1.69,-1.64,-1.26,-0.24,1.38,1.3,1,1.8,1.4,1,1,-2.4,190.783078126609,594.690440390259,744.153787624091,1066.34784541652,1349.66758054122,1671.02332976833,20.3677373250326,21.0018891970317,21.4096468831157,20.4140963736779,18.4608945252694,17.8098904675,26.0876647949219,26.1545483589172,26.589631489345,25.918599655068,24.0320901696062,23.5874178899478,547.97815322876,1111.89503192902,1726.18761634827,3326.8735370636,4444.65822124481,5724.92701101303
